c0;c1;c2;c3;c4;c5;
57;20 24 28 32 36 5 10;20;24;28;32;36;5;10
58;15 19 23 27 31 3 9;15;19;23;27;31;3;9
59;10 14 18 22 26 2 10;10;14;18;22;26;2;10
60;5 9 13 17 21 4 7;5;9;13;17;21;4;7
61;12 17 22 27 32 2 3;12;17;22;27;32;2;3
62;8 13 18 23 28 4 7;8;13;18;23;28;4;7
63;25 30 35 40 45 3 10;25;30;35;40;45;3;10
64;6 7 17 19 46 2 9;6;7;17;19;46;2;9
65;22 27 32 37 42 1 3;22;27;32;37;42;1;3
66;17 22 27 32 37 5 9;17;22;27;32;37;5;9
67;11 16 21 26 31 6 7;11;16;21;26;31;6;7
68;13 18 23 28 33 2 9;13;18;23;28;33;2;9
69;14 19 24 29 34 5 11;14;19;24;29;34;5;11
70;15 20 25 30 35 2 7;15;20;25;30;35;2;7
71;8 13 18 23 28 2 8;8;13;18;23;28;2;8
72;9 14 19 24 29 5 11;9;14;19;24;29;5;11
73;1 5 28 46 50 3 10;1;5;28;46;50;3;10
74;1 5 23 46 50 1 7;1;5;23;46;50;1;7
75;6 12 18 24 30 5 10;6;12;18;24;30;5;10
76;11 17 23 29 35 7 8;11;17;23;29;35;7;8
77;11 16 21 22 44 3 8;11;16;21;22;44;3;8
78;5 16 20 30 41 4 7;5;16;20;30;41;4;7
79;1 9 10 22 50 3 8;1;9;10;22;50;3;8
80;17 20 35 49 50 1 10;17;20;35;49;50;1;10
81;2 5 8 12 14 5 9;2;5;8;12;14;5;9
82;5 9 10 14 15 5 11;5;9;10;14;15;5;11
83;1 2 6 7 11 2 9;1;2;6;7;11;2;9
84;4 7 8 12 16 4 8;4;7;8;12;16;4;8
85;35 39 43 44 47 4 5;35;39;43;44;47;4;5
86;27 31 32 33 37 1 7;27;31;32;33;37;1;7
87;28 32 33 34 38 4 11;28;32;33;34;38;4;11
88;29 33 34 35 39 3 5;29;33;34;35;39;3;5
89;3 7 8 9 13 4 5;3;7;8;9;13;4;5
90;37 41 42 43 47 2 7;37;41;42;43;47;2;7
91;3 7 8 9 13 5 11;3;7;8;9;13;5;11
92;16 21 26 31 36 2 10;16;21;26;31;36;2;10
93;11 16 21 26 31 1 6;11;16;21;26;31;1;6
94;17 22 27 32 37 2 3;17;22;27;32;37;2;3
95;16 22 28 34 40 4 5;16;22;28;34;40;4;5
96;6 10 28 41 45 3 8;6;10;28;41;45;3;8
97;6 10 28 41 45 4 8;6;10;28;41;45;4;8
98;13 17 18 19 23 5 6;13;17;18;19;23;5;6
99;25 29 33 37 41 1 6;25;29;33;37;41;1;6
100;11 19 32 34 47 8 9;11;19;32;34;47;8;9
101;25 34 36 37 48 7 10;25;34;36;37;48;7;10
102;3 8 13 18 23 2 9;3;8;13;18;23;2;9
103;4 9 14 19 24 2 6;4;9;14;19;24;2;6
104;5 10 15 20 25 5 10;5;10;15;20;25;5;10
105;2 7 12 17 22 1 2;2;7;12;17;22;1;2
106;1 6 11 16 21 1 7;1;6;11;16;21;1;7
107;9 14 19 24 29 3 7;9;14;19;24;29;3;7
108;8 13 18 23 28 4 11;8;13;18;23;28;4;11
109;11 19 32 34 47 2 9;11;19;32;34;47;2;9
110;36 37 38 39 40 3 4;36;37;38;39;40;3;4
111;6 12 18 22 26 2 3;6;12;18;22;26;2;3
112;5 9 13 19 25 4 9;5;9;13;19;25;4;9
113;3 20 21 24 47 3 9;3;20;21;24;47;3;9
114;3 15 20 21 47 3 9;3;15;20;21;47;3;9
115;16 22 28 34 40 8 9;16;22;28;34;40;8;9
116;7 9 13 17 19 3 7;7;9;13;17;19;3;7
117;8 10 14 18 20 2 4;8;10;14;18;20;2;4
118;6 8 12 16 18 3 10;6;8;12;16;18;3;10
119;1 3 7 11 13 4 11;1;3;7;11;13;4;11
120;31 32 33 34 35 4 11;31;32;33;34;35;4;11
121;17 21 22 23 27 2 6;17;21;22;23;27;2;6
122;9 13 14 15 19 5 11;9;13;14;15;19;5;11
123;14 21 31 35 49 1 7;14;21;31;35;49;1;7
124;13 22 25 29 38 8 11;13;22;25;29;38;8;11
125;11 12 17 26 31 1 7;11;12;17;26;31;1;7
126;10 14 19 20 25 5 11;10;14;19;20;25;5;11
127;5 9 13 18 19 3 8;5;9;13;18;19;3;8
128;4 5 8 13 21 4 9;4;5;8;13;21;4;9
129;5 8 10 14 15 2 7;5;8;10;14;15;2;7
130;2 6 7 9 12 2 7;2;6;7;9;12;2;7
131;3 5 7 8 18 3 8;3;5;7;8;18;3;8
132;2 6 8 11 12 2 3;2;6;8;11;12;2;3
133;3 4 12 16 18 2 7;3;4;12;16;18;2;7
134;1 6 15 17 28 3 8;1;6;15;17;28;3;8
135;4 7 8 9 20 2 9;4;7;8;9;20;2;9
136;1 6 11 16 21 1 7;1;6;11;16;21;1;7
137;27 32 37 42 47 3 10;27;32;37;42;47;3;10
138;28 33 38 43 48 2 6;28;33;38;43;48;2;6
139;29 34 39 44 49 3 5;29;34;39;44;49;3;5
140;30 35 40 45 50 1 2;30;35;40;45;50;1;2
141;26 31 36 41 46 3 4;26;31;36;41;46;3;4
142;16 21 26 31 36 4 11;16;21;26;31;36;4;11
143;17 22 27 32 37 1 10;17;22;27;32;37;1;10
144;11 16 21 26 31 1 11;11;16;21;26;31;1;11
145;1 5 28 46 50 3 4;1;5;28;46;50;3;4
146;12 14 18 22 24 4 5;12;14;18;22;24;4;5
147;13 15 19 23 25 5 10;13;15;19;23;25;5;10
148;24 28 29 30 34 2 4;24;28;29;30;34;2;4
149;3 4 5 10 15 4 5;3;4;5;10;15;4;5
150;1 2 3 6 11 5 10;1;2;3;6;11;5;10
151;36 41 46 47 48 1 2;36;41;46;47;48;1;2
152;40 45 48 49 50 5 11;40;45;48;49;50;5;11
153;10 14 18 22 26 2 4;10;14;18;22;26;2;4
154;10 11 12 17 23 2 7;10;11;12;17;23;2;7
155;7 13 14 21 38 2 3;7;13;14;21;38;2;3
156;9 11 14 16 27 4 9;9;11;14;16;27;4;9
157;10 12 14 15 29 4 11;10;12;14;15;29;4;11
158;3 13 33 42 43 5 11;3;13;33;42;43;5;11
159;7 11 12 14 15 1 2;7;11;12;14;15;1;2
160;4 8 13 22 26 1 7;4;8;13;22;26;1;7
161;23 27 28 32 49 2 11;23;27;28;32;49;2;11
162;11 12 13 14 15 4 11;11;12;13;14;15;4;11
163;8 9 11 13 14 3 4;8;9;11;13;14;3;4
164;1 6 12 14 37 4 5;1;6;12;14;37;4;5
165;7 11 14 27 40 5 6;7;11;14;27;40;5;6
166;4 8 17 19 23 3 7;4;8;17;19;23;3;7
167;5 10 11 19 23 4 6;5;10;11;19;23;4;6
168;32 36 37 38 42 1 10;32;36;37;38;42;1;10
169;22 31 33 36 47 2 7;22;31;33;36;47;2;7
170;6 25 26 44 50 7 8;6;25;26;44;50;7;8
171;26 34 35 40 42 3 10;26;34;35;40;42;3;10
172;17 19 27 34 37 4 8;17;19;27;34;37;4;8
173;7 15 21 28 47 7 10;7;15;21;28;47;7;10
174;7 15 22 37 50 4 6;7;15;22;37;50;4;6
175;16 23 34 38 48 2 9;16;23;34;38;48;2;9
176;13 27 40 41 48 1 3;13;27;40;41;48;1;3
177;11 17 23 29 35 4 11;11;17;23;29;35;4;11
178;7 12 17 22 27 2 7;7;12;17;22;27;2;7
179;15 16 18 22 50 2 10;15;16;18;22;50;2;10
180;14 33 35 36 46 5 8;14;33;35;36;46;5;8
181;1 5 28 46 50 3 8;1;5;28;46;50;3;8
182;1 5 18 46 50 4 11;1;5;18;46;50;4;11
183;3 7 8 9 13 1 3;3;7;8;9;13;1;3
184;5 12 16 28 34 2 10;5;12;16;28;34;2;10
185;5 12 24 32 49 1 5;5;12;24;32;49;1;5
186;1 15 22 34 48 5 10;1;15;22;34;48;5;10
187;1 14 22 33 45 5 9;1;14;22;33;45;5;9
188;2 15 21 34 48 8 11;2;15;21;34;48;8;11
189;12 17 18 25 29 2 7;12;17;18;25;29;2;7
190;12 23 24 34 38 5 8;12;23;24;34;38;5;8
191;12 19 21 27 39 1 10;12;19;21;27;39;1;10
192;1 2 6 7 13 3 8;1;2;6;7;13;3;8
193;1 15 22 34 48 5 10;1;15;22;34;48;5;10
194;1 15 22 34 49 10 11;1;15;22;34;49;10;11
195;4 13 25 31 32 1 2;4;13;25;31;32;1;2
196;21 39 41 44 50 10 11;21;39;41;44;50;10;11
197;3 12 15 22 24 4 8;3;12;15;22;24;4;8
198;6 17 28 30 42 5 8;6;17;28;30;42;5;8
199;46 47 48 49 50 10 11;46;47;48;49;50;10;11
200;12 15 18 19 20 3 6;12;15;18;19;20;3;6
201;6 12 14 15 18 3 9;6;12;14;15;18;3;9
202;3 18 32 35 44 2 10;3;18;32;35;44;2;10
203;7 18 29 33 45 3 10;7;18;29;33;45;3;10
204;7 14 22 24 27 4 10;7;14;22;24;27;4;10
205;1 3 4 22 23 3 4;1;3;4;22;23;3;4
206;24 30 34 36 40 7 11;24;30;34;36;40;7;11
207;40 42 45 49 50 3 11;40;42;45;49;50;3;11
208;14 23 24 28 31 8 11;14;23;24;28;31;8;11
209;16 21 25 28 31 5 9;16;21;25;28;31;5;9
210;5 6 7 12 22 1 3;5;6;7;12;22;1;3
211;1 3 5 12 22 1 7;1;3;5;12;22;1;7
212;5 11 33 35 43 1 7;5;11;33;35;43;1;7
213;7 12 17 22 28 4 10;7;12;17;22;28;4;10
214;43 44 45 46 47 5 6;43;44;45;46;47;5;6
215;1 14 21 44 46 1 9;1;14;21;44;46;1;9
216;6 8 19 27 39 2 9;6;8;19;27;39;2;9
217;3 12 13 44 47 3 4;3;12;13;44;47;3;4
218;2 8 21 34 45 5 7;2;8;21;34;45;5;7
219;4 14 24 32 41 1 10;4;14;24;32;41;1;10
220;6 11 16 21 26 1 6;6;11;16;21;26;1;6
221;15 20 25 30 35 4 10;15;20;25;30;35;4;10
222;3 4 9 13 26 3 9;3;4;9;13;26;3;9
223;13 16 33 36 49 3 11;13;16;33;36;49;3;11
224;2 11 14 48 49 4 5;2;11;14;48;49;4;5
225;23 24 28 29 33 9 10;23;24;28;29;33;9;10
226;1 5 28 46 50 8 9;1;5;28;46;50;8;9
227;13 21 38 46 49 3 11;13;21;38;46;49;3;11
228;13 15 24 32 35 9 10;13;15;24;32;35;9;10
229;13 15 24 32 35 9 10;13;15;24;32;35;9;10
230;5 23 24 27 30 1 9;5;23;24;27;30;1;9
231;6 8 20 27 30 3 9;6;8;20;27;30;3;9
232;11 19 26 35 39 9 10;11;19;26;35;39;9;10
233;11 15 22 48 50 3 4;11;15;22;48;50;3;4
234;8 23 36 39 41 3 7;8;23;36;39;41;3;7
235;1 3 23 43 50 1 8;1;3;23;43;50;1;8
236;17 28 31 41 46 1 2;17;28;31;41;46;1;2
237;3 12 19 37 41 7 8;3;12;19;37;41;7;8
238;32 39 42 49 50 5 7;32;39;42;49;50;5;7
239;15 18 19 45 50 8 9;15;18;19;45;50;8;9
240;17 36 38 39 41 3 5;17;36;38;39;41;3;5
